brand_id,path,value
BRD_20161241,rgsno,2078143555
BRD_20161241,brand_nm,BBQ
BRD_20161241,category,치킨
BRD_20161241,extracted_raw.autonomy.hq_inspection.method,담당자 매장 방문 → Q.C.S 점검 및 관리표 작성 → 가맹점사업자 결과 공유 및 확인 → 서명
BRD_20161241,extracted_raw.autonomy.hq_inspection.frequency,수시
BRD_20161241,extracted_raw.autonomy.hq_inspection.source_quote,"(가) 당사는 Business Manager(경영지도요원, 품질관리요원, 모니터요원 등)를 통하여
귀하가 운영하는 가맹점포를 정기적으로 운영지도 하고 있으며 자세한 내용
은 다음과 같습니다.
운영지도 빈도 및
감독 절차 담당팀 비고
항목 시기
Q.C.S 담당자 매장 방문 → Q.C.S 점검 및 관리표
(품질, 청결, 작성 → 가맹점사업자 결과 공유 및 확인 → 수시방문 BM 및 관련부서
서비스) 서명"
BRD_20161241,extracted_raw.autonomy.operating_hours.hours,11:00 ∼ 24:00 (13시간)
BRD_20161241,extracted_raw.autonomy.operating_hours.mandated,true
BRD_20161241,extracted_raw.autonomy.operating_hours.source_quote,"2) 영업시간 및 영업일수 제한
(가) 당사는 [BBQ]의 영업시간 및 영업일수를 제한하고 있습니다. 자세한 내용은
다음과 같습니다.
영업시간 영업일수 비고
가맹점 휴무 시 운영팀과 협의하고 사전에
11:00 ∼ 24:00 (13시간) 점포에 따라 다름
고객들에게 충분히 고지해야 한다."
BRD_20161241,extracted_raw.autonomy.menu_flexibility.conditions,당사의 상표권을 보호하고 상품 또는 용역의 동일성 유지를 위하여 지정된 상품만을 취급하도록 하고 있습니다. 가맹본부에서 제공하지 않는 상품ㆍ용역을 판매하려는 경우에는 사전에 가맹본부에게 서면으로 통지하여 승인을 받아야 합니다. 그렇지 않을 경우 불이익을 받을 수 있으므로 주의하여야 합니다.
BRD_20161241,extracted_raw.autonomy.menu_flexibility.can_add_menu,false
BRD_20161241,extracted_raw.autonomy.menu_flexibility.source_quote,"3. 상품ㆍ용역, 거래상대방, 가격 결정
1) 가맹점사업자가 취급하는 상품ㆍ용역의 판매 제한
(가) 당사의 상표권을 보호하고 상품 또는 용역의 동일성 유지를 위하여 아래의
지정된 상품만을 취급하도록 하고 있습니다.
항 목 내 용
상품 · 용역 본부 제공 상품 일체
상표권 보호, 상품 또는 용역의 동일성 유지 및 가맹점 전체의 이미지 통
제한내용 및 조건
일성을 유지하기 위해 제공되는 상품 이외의 상품, 용역을 판매할 수 없음
1회 위반시 : 구두경고 및 서면시정요구
위반 시 책임 2회 위반시 : 2회 이상 시정요구
3회 이상 위반 : 계약의 갱신 거절 또는 (중대한 위반 시) 해지
(나) 귀하가 가맹본부에서 제공하지 않는 상품ㆍ용역을 판매하려는 경우에는 사전에
가맹본부에게 서면으로 통지하여 승인을 받아야 합니다. 그렇지 않을 경우 불이
익을 받을 수 있으므로 주의하여야 합니다."
BRD_20161241,extracted_raw.autonomy.supplier_freedom.conditions,"당사의 공급제품의 품질과 동일하다는 서면 입증을 통해 당사의 사전 서면 승인을 받아 제품을 사입할 수 있으나, 사입으로 인하여 품질기준을 준수하지 못한 경우에, 당사는 계약을 해지할 수 있으며, 품질이 동일하다는 것에 대한 입증책임은 가맹점사업자에게 있습니다."
BRD_20161241,extracted_raw.autonomy.supplier_freedom.source_quote,"[당사는 [BBQ] 브랜드의 통일성을 유지하는데 필요한 물품을 가맹점사업자에게 공급
합니다. 이와 관련하여, 가맹점사업자는 당사의 공급제품의 품질과 동일하다는 서면
입증을 통해 당사의 사전 서면 승인을 받아 제품을 사입할 수 있으나, 사입으로 인
하여 품질기준을 준수하지 못한 경우에, 당사는 계약을 해지할 수 있으며, 품질이
동일하다는 것에 대한 입증책임은 가맹점사업자에게 있습니다.]"
BRD_20161241,extracted_raw.autonomy.supplier_freedom.can_source_freely,true
BRD_20161241,extracted_raw.autonomy.supplier_freedom.mandatory_items_ratio,
BRD_20161241,extracted_raw.autonomy.pricing_authority.type,권장
BRD_20161241,extracted_raw.autonomy.pricing_authority.detail,"가맹점사업자가 판매하는 상품 또는 용역의 가격의 변동 등에 대하여 ‘가맹점운영위원회(동행위원회)’를 통하여 전국 가맹점의 의사를 확인하고 협의하여 의사결정한 후 가격 등을 변경하거나, 또는 가맹점사업자가 판매하는 상품이나 용역을 당사가 결정하여 가맹점사업자가 이에 따라 운영하도록 권장할 수 있습니다. 당사는 귀하가 판매하는 상품이나 용역의 가격을 정하여 이를 준수하도록 권장하고 있습니다."
BRD_20161241,extracted_raw.autonomy.pricing_authority.source_quote,"3) 가맹점사업자의 가격 결정의 제한
(가) 가맹점 사업자가 판매하는 상품 또는 용역의 가격의 변동 등에 대하여 ‘가맹점
운영위원회(동행위원회)’를 통하여 전국 가맹점의 의사를 확인하고 협의하여
의사결정한 후 가격 등을 변경하거나, 또는 가맹점사업자가 판매하는 상품이
- 32 -
나 용역을 당사가 결정하여 가맹점사업자가 이에 따라 운영하도록 권장할 수
있습니다.
(나) 당사는 귀하가 판매하는 상품이나 용역의 가격을 정하여 이를 준수하도록
권장하고 있습니다."
BRD_20161241,extracted_raw.autonomy.education_frequency.source_quote,"4) 당사는 가맹점사업자에게 가맹사업의 지속적인 영위를 위해 가맹점 개점 후 1년
이상 경과 시 당사의 연수원에서 보수교육을 실시하고 있습니다.
5) 단, 1년이 경과하지 않더라도 당사의 경영지도에 의한 가맹점 점검 시 위생불량 및
조리 매뉴얼 미준수 등의 사유가 발생할 시에는 당사는 보수교육을 명할 수 있습니다."
BRD_20161241,extracted_raw.autonomy.education_frequency.pre_opening_days,
BRD_20161241,extracted_raw.autonomy.education_frequency.regular_frequency,"개점 후 1년 이상 경과 시 보수교육 실시, 경영지도 점검 시 위생불량 및 조리 매뉴얼 미준수 등의 사유 발생 시 보수교육 명할 수 있음"
BRD_20161241,extracted_raw.autonomy.territory_protection.criteria,"4천세대를 기준으로 점포운영의 편의성 그리고 점포 예정지 상권의 상황(도로, 철도, 주요시설 등) 등을 종합적으로 감안하여 합리적으로 독립된 영업지역을 설정합니다."
BRD_20161241,extracted_raw.autonomy.territory_protection.source_quote,"2) 영업지역 설정기준
당사는 영업지역을 다음과 같이 정하고 있습니다.
설정 기준 설정방법
4천세대를 기준으로 점포운영의 편의성 그리고 점포
예정지 상권의 상황(도로, 철도, 주요시설 등) 등을 종
가맹계약서 별지에 영업지역 표시
합적으로 감안하여 합리적으로 독립된 영업지역을 설정
(지도 별첨을 원칙으로 하며, 지도에는 각
합니다. 단, 배달을 주된 업으로 하지 않고 특정장소에
점을 연결한 선내에 독점적, 배타적 영업지
입점하여 내점고객에 판매를 주로 하는 매장 등(특화매
역을 부여한다.)
장 또는 특수상권)은 위 기준을 적용하지 않고 점포 특
성에 알맞게 영업지역을 설정 합니다.
※ 특화매장은 가맹본부가 임의대로 설치 가능하되, 특화매장의 영업지역은 지정된
장소에 국한하고 배달영업은 하지 않습니다."
BRD_20161241,extracted_raw.autonomy.territory_protection.distance_or_area,4천세대 기준
